OTU_id	kingdom	phylum	class	order	family	genus	species	nav.cyl.b6	sem.nav.c1	sem.a1	sem.nav.c3	sem.nav.c4	nav.c5	nav.c6	triple.d1	triple.d2	sem.cyl.d3	nav.cyl.d4	nav.cyl.d5	cyl.d6	sem.cyl.a3	inoculum	sem.a4	cyl.a5	cyl.a6	triple.b1	nav.b2	sem.b3	sem.cyl.b4
1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Octadecabacter	unclassified	1564	1246	186	6981	3367	9814	9455	2803	10668	6816	11327	8498	9740	908	0	311	10055	11515	3917	1955	0	2132
3	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Arcobacter	unclassified	12546	1	41	128	192	5377	35	233	1470	1355	396	190	1688	49	0	22	89	5260	192	6372	1	33
4	Bacteria	Proteobacteria	Deltaproteobacteria	Bdellovibrionales	Bacteriovoracaceae	Bacteriovorax	unclassified	0	0	0	0	0	0	1580	0	0	0	173	1290	0	409	0	0	1572	0	0	0	0	0
5	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Mangrovimonas	yunxiaonensis	0	209	1223	177	306	0	0	13	25	145	0	0	0	190	0	1528	0	0	122	0	181	93
6	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Phaeobacter	gallaeciensis	0	0	6	485	0	0	0	0	0	0	0	0	0	2	1	2858	1	2	1307	0	1	0
7	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Cryomorphaceae	Owenweeksia	unclassified	1	13	100	158	51	0	0	24	11	60	2	0	0	404	0	1	0	0	528	0	584	56
9	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Arcobacter	unclassified	0	0	0	0	0	0	0	0	0	1244	1	0	34	0	0	0	0	0	3	0	0	0
10	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Sulfitobacter	guttiformis	74	136	27	94	312	59	175	310	451	57	75	83	66	60	0	56	51	137	191	29	0	334
11	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Nitratifractor	salsuginis	282	0	0	3	7	20	0	8	28	3	0	1	12	0	0	0	0	455	10	222	0	0
12	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Sulfitobacter	japonica	126	64	115	193	107	236	264	45	209	416	248	178	243	139	0	72	207	432	220	114	4	68
